Intent Name,Total Conversations,Automation Conversation Count,Automation Rate,Meaningful Drop off Count,Meaningful Drop off Rate,Not Understood Drop off Count,Not Understood Drop off Rate,Planned Escalation Count,Planned Escalation Rate,Reopen + escalation (other) Count,Reopen + escalation (other) Rate,Reopen + escalation (thank you) Count,Reopen + escalation (thank you) Rate,Failed Escalation Count,Failed Escalation Rate,Not Resolved Count,Not Resolved Rate,Informed + No Status Count,Informed + No Status Rate,Initial Failed Escalation to Agent Escalation Count,Initial Failed Escalation to Agent Escalation Rate,Others Count,Other Rate
Cancellations & Refunds,"4,091",436,10.66%, 847 ,20.70%, 3 ,0.07%," 2,567 ",62.75%, 149 ,3.64%, 1 ,0.02%, 3 ,0.07%, 82 ,2.00%, 1 ,0.02%, 2 ,0.05%, 0 ,0.00%
Hello,"3,698",321,8.68%, 396 ,10.71%, 263 ,7.11%," 2,457 ",66.44%, 150 ,4.06%, 3 ,0.08%, 23 ,0.62%, 78 ,2.11%, 3 ,0.08%, 4 ,0.11%, 0 ,0.00%
No Intent,"3,556",0,0.00%, 10 ,0.28%," 1,361 ",38.27%," 1,694 ",47.64%, 468 ,13.16%, 0 ,0.00%, 20 ,0.56%, 0 ,0.00%, 0 ,0.00%, 3 ,0.08%, 0 ,0.00%
Pickup and drop-off information,"2,008",500,24.90%, 494 ,24.60%, 3 ,0.15%, 887 ,44.17%, 37 ,1.84%, 1 ,0.05%, 0 ,0.00%, 84 ,4.18%, 1 ,0.05%, 1 ,0.05%, 0 ,0.00%
Rescheduling,"1,685",277,16.44%, 239 ,14.18%, 13 ,0.77%," 1,083 ",64.27%, 33 ,1.96%, 2 ,0.12%, 4 ,0.24%, 34 ,2.02%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Thank you/positive feedback/bye,"1,625",0,0.00%, 0 ,0.00%, 0 ,0.00%, 80 ,4.92%, 0 ,0.00%, 919 ,56.55%, 10 ,0.62%, 0 ,0.00%, 602 ,37.05%, 14 ,0.86%, 0 ,0.00%
Meeting point,"1,393",203,14.57%, 482 ,34.60%, 11 ,0.79%, 575 ,41.28%, 23 ,1.65%, 2 ,0.14%, 5 ,0.36%, 91 ,6.53%, 1 ,0.07%, 1 ,0.07%, 0 ,0.00%
Voucher lost or not received,"1,208",94,7.78%, 189 ,15.65%, 9 ,0.75%, 843 ,69.78%, 38 ,3.15%, 0 ,0.00%, 3 ,0.25%, 31 ,2.57%, 0 ,0.00%, 1 ,0.08%, 0 ,0.00%
Payments,913,45,4.93%, 183 ,20.04%, 7 ,0.77%, 613 ,67.14%, 32 ,3.50%, 0 ,0.00%, 2 ,0.22%, 31 ,3.40%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
I have a booking,889,92,10.35%, 176 ,19.80%, 7 ,0.79%, 553 ,62.20%, 42 ,4.72%, 1 ,0.11%, 1 ,0.11%, 17 ,1.91%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Changes to booking,665,236,35.49%, 115 ,17.29%, 3 ,0.45%, 283 ,42.56%, 9 ,1.35%, 0 ,0.00%, 1 ,0.15%, 18 ,2.71%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Voucher questions,585,93,15.90%, 143 ,24.44%, 3 ,0.51%, 310 ,52.99%, 10 ,1.71%, 0 ,0.00%, 0 ,0.00%, 26 ,4.44%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Running Late to activity,547,177,32.36%, 165 ,30.16%, 1 ,0.18%, 175 ,31.99%, 12 ,2.19%, 1 ,0.18%, 0 ,0.00%, 16 ,2.93%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Description Itinerary & Inclusions Exclusions,516,70,13.57%, 141 ,27.33%, 2 ,0.39%, 266 ,51.55%, 18 ,3.49%, 0 ,0.00%, 0 ,0.00%, 19 ,3.68%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Startend time and duration,510,103,20.20%, 125 ,24.51%, 4 ,0.78%, 214 ,41.96%, 19 ,3.73%, 0 ,0.00%, 0 ,0.00%, 44 ,8.63%, 0 ,0.00%, 1 ,0.20%, 0 ,0.00%
I want to speak to a human,474,0,0.00%, 27 ,5.70%, 0 ,0.00%, 400 ,84.39%, 37 ,7.81%, 0 ,0.00%, 9 ,1.90%, 0 ,0.00%, 0 ,0.00%, 1 ,0.21%, 0 ,0.00%
Info about supplier,416,50,12.02%, 114 ,27.40%, 0 ,0.00%, 206 ,49.52%, 34 ,8.17%, 0 ,0.00%, 0 ,0.00%, 12 ,2.88%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Requirements and restrictions,408,72,17.65%, 111 ,27.21%, 3 ,0.74%, 195 ,47.79%, 9 ,2.21%, 1 ,0.25%, 0 ,0.00%, 17 ,4.17%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Availability & Recommendations,372,36,9.68%, 81 ,21.77%, 2 ,0.54%, 205 ,55.11%, 27 ,7.26%, 0 ,0.00%, 0 ,0.00%, 21 ,5.65%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Technical issues,344,27,7.85%, 98 ,28.49%, 5 ,1.45%, 194 ,56.40%, 12 ,3.49%, 0 ,0.00%, 2 ,0.58%, 6 ,1.74%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Confirm upcoming activity,298,90,30.20%, 71 ,23.83%, 4 ,1.34%, 115 ,38.59%, 4 ,1.34%, 0 ,0.00%, 0 ,0.00%, 14 ,4.70%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Images,259,9,3.47%, 74 ,28.57%, 4 ,1.54%, 131 ,50.58%, 35 ,13.51%, 0 ,0.00%, 2 ,0.77%, 4 ,1.54%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Affirmative,233,0,0.00%, 0 ,0.00%, 63 ,27.04%, 62 ,26.61%, 96 ,41.20%, 1 ,0.43%, 10 ,4.29%, 0 ,0.00%, 0 ,0.00%, 1 ,0.43%, 0 ,0.00%
I have a question,188,9,4.79%, 32 ,17.02%, 3 ,1.60%, 120 ,63.83%, 20 ,10.64%, 0 ,0.00%, 1 ,0.53%, 3 ,1.60%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Reviews,181,23,12.71%, 48 ,26.52%, 0 ,0.00%, 97 ,53.59%, 9 ,4.97%, 0 ,0.00%, 1 ,0.55%, 3 ,1.66%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Negative feedback,175,0,0.00%, 0 ,0.00%, 0 ,0.00%, 157 ,89.71%, 0 ,0.00%, 0 ,0.00%, 10 ,5.71%, 0 ,0.00%, 0 ,0.00%, 8 ,4.57%, 0 ,0.00%
Discount & Pricing,166,21,12.65%, 34 ,20.48%, 2 ,1.20%, 99 ,59.64%, 8 ,4.82%, 0 ,0.00%, 0 ,0.00%, 2 ,1.20%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Activity language,163,11,6.75%, 45 ,27.61%, 1 ,0.61%, 92 ,56.44%, 7 ,4.29%, 0 ,0.00%, 0 ,0.00%, 7 ,4.29%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Follow-up requests,99,12,12.12%, 23 ,23.23%, 1 ,1.01%, 58 ,58.59%, 2 ,2.02%, 1 ,1.01%, 1 ,1.01%, 1 ,1.01%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Negative,71,0,0.00%, 0 ,0.00%, 14 ,19.72%, 42 ,59.15%, 15 ,21.13%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Invoice,59,17,28.81%, 13 ,22.03%, 0 ,0.00%, 27 ,45.76%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%, 2 ,3.39%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Supplier contact,58,27,46.55%, 14 ,24.14%, 0 ,0.00%, 15 ,25.86%, 2 ,3.45%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Redeem gift code,53,6,11.32%, 9 ,16.98%, 0 ,0.00%, 34 ,64.15%, 3 ,5.66%, 0 ,0.00%, 0 ,0.00%, 1 ,1.89%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
How to book,43,4,9.30%, 15 ,34.88%, 1 ,2.33%, 21 ,48.84%, 1 ,2.33%, 0 ,0.00%, 0 ,0.00%, 1 ,2.33%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
GDPR Requests,23,0,0.00%, 6 ,26.09%, 0 ,0.00%, 16 ,69.57%, 1 ,4.35%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Links,15,0,0.00%, 4 ,26.67%, 1 ,6.67%, 8 ,53.33%, 2 ,13.33%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Total,"27,987","3,061",10.94%," 4,524 ",16.16%," 1,794 ",6.41%," 14,894 ",53.22%," 1,364 ",4.87%, 933 ,3.33%, 108 ,0.39%, 665 ,2.38%, 608 ,2.17%, 37 ,0.13%, 0 ,0.00%